Date,Direction,MeanThroughputMbps,ASName,City,Latency
2023-10-22,download,12.339065730280971,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Guelmim,103.69829333333332
2021-10-06,download,0.8011720490308791,Web Squad Connect (Pty) Ltd,Cape Town,58.25299999999999
2022-11-19,download,45.33713056044506,Afrihost (Pty) Ltd,Meyerton,12.105333333333334
2023-01-01,download,77.77780764341706,Clear Access (Pty) Ltd,Cape Town,18.0
2022-03-18,download,5.034849525625344,LANDMARK UNIVERSITY OMU-ARAN,Lagos,142.65125
2021-09-13,download,38.002706053887,SEACOM Limited,Johannesburg,54.77191666666669
2021-02-16,download,16.192228442729803,Legends Connect Pty Ltd,Johannesburg,5.232
2021-03-06,download,10.643566728396952,SPECTRANET LIMITED,Ikeja,38.7604
2021-06-17,download,0.8060726151848487,BITFLUX COMMUNICATIONS LIMITED,Lekki,31.343
2020-09-26,download,25.970071633243357,MTN SA,Port Elizabeth,7.863333333333335
2020-07-11,download,2.9163917922061873,Dimension Data (Pty) Ltd - Optinet,Kimberley,57.2455
2021-12-01,download,9.23442567219722,Liquid Telecommunications South Africa (Pty) Ltd,Pietermaritzburg,8.517285714285714
2023-12-24,download,7.580403952227624,,Citrusdal,40.64471428571429
2020-10-22,download,76.32289076366932,TENET (The UNINET Project),Centurion,9.756666666666668
2023-02-03,download,31.48733980481164,Webdev CC T/A Cybertek,Cape Town,24.9
2022-04-10,download,3.165299742760804,Capricom Networks,Ekurhuleni,22.710749999999997
2021-02-15,download,7.695413974460543,VDT COMMUNICATIONS LIMITED,Lagos,82.77377777777778
2023-10-10,download,31.236150060601297,Safaricom Limited,Kerugoya,35.26833333333333
2020-03-22,download,5.490983553758099,Africa Independent Network Exchange (Pty) LTD (AfricaINX),Johannesburg,66.42857142857143
2020-07-07,download,0.7064444728261152,SPECTRANET LIMITED,Agege,254.31733333333332
2022-05-25,download,4.757645200157986,Vodacom,Delmas,35.602
2022-08-11,download,47.71635479337811,Cool Ideas Service Provider (Pty) Ltd,Bedfordview,8.442333333333334
2021-06-23,download,0.5858038758308731,Dimension Data (Pty) Ltd - Optinet,Victory Park,57.507
2023-03-23,download,18.31685144733807,TE-AS,Sharm el Sheikh,93.72766666666666
2022-07-26,download,2.9665483138518307,SOMTEL INTERNATIONAL Ltd,Hargeisa,252.858
2022-04-14,download,30.45489176744586,"Cloudflare, Inc.",Lagos,104.44616666666666
2020-02-11,download,2.863475761003795,Xnet Internet Services (Pty) Ltd,Cape Town,27.666666666666668
2021-03-19,download,8.569963209397972,TE-AS,Mashtul as Suq,128.605
2021-09-13,download,14.07773220158399,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Taounate,72.373075
2021-06-06,download,5.603403033419699,Vodafone Data,Giza,128.2819423076923
2024-07-20,download,0.847118182003133,"UNITEL T Telecomunicacoes, Sociedade Unipessoal S.A.",,99.603
2024-07-01,download,11.577316977040434,Wana Corporate,Casablanca,68.82036401047513
2023-10-08,download,8.330223854021252,TOPNET,La Mornaghia,72.635
2023-10-20,download,0.4125276989739029,MTN SA,Fish Hoek,63.863
2022-01-07,download,12.424604195851092,Airtel Networks Kenya Limited,,23.632276073619632
2023-08-22,download,4.196673780557063,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Ahfir,76.965
2022-09-05,download,15.746326560873175,Internet Solutions,Orange Farm,4.4175
2024-08-25,download,86.819255466757,RSAWEB (PTY) LTD,George,8.8235
2024-07-21,download,19.98732456716273,The Computer Hut cc,Western Cape,17.434
2022-12-09,download,15.82653201429677,Mauritius Telecom Ltd,Savanne District,51.487
2022-06-28,download,40.76267588239272,Business Connexion Communications,Pretoria,1.502
2024-02-05,download,51.687762517345696,Telkom SA Ltd.,Christiana,29.387
2022-11-26,download,31.135478197069396,,Taung,10.376333333333331
2022-11-10,download,0.7605684495903383,TOPNET,Masakin,68.463
2021-10-04,download,5.177026600966926,Cybersmart,East London,71.7365
2023-08-09,download,8.202950685238775,MTN SA,Despatch,61.763
2021-02-03,download,48.569440328325456,Afrihost (Pty) Ltd,eManzimtoti,25.4895
2020-06-08,download,0.273413894163765,Telkom SA Ltd.,Empangeni,308.0
2023-10-06,download,11.794468180367904,TE-AS,Port el Ghalib,111.64
2021-12-31,download,2.2662141121187513,Kurlec Wireless (PTY) Ltd,Kuruman,72.28450000000001
2020-09-26,download,3.4451559374986704,Safaricom Limited,Kigumo,20.037888888888887
2021-05-22,download,16.234219724182477,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Sefrou,57.84123076923077
2024-08-26,download,22.77597426781242,TE-AS,Kafr ash Shaykh,80.957
