uuid,date,isp,city,mbps
,2023-10-22,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Guelmim,12.339065730280971
,2021-10-06,Web Squad Connect (Pty) Ltd,Cape Town,0.8011720490308791
,2022-11-19,Afrihost (Pty) Ltd,Meyerton,45.33713056044506
,2023-01-01,Clear Access (Pty) Ltd,Cape Town,77.77780764341706
,2022-03-18,LANDMARK UNIVERSITY OMU-ARAN,Lagos,5.034849525625344
,2021-09-13,SEACOM Limited,Johannesburg,38.002706053887
,2021-02-16,Legends Connect Pty Ltd,Johannesburg,16.192228442729803
,2021-03-06,SPECTRANET LIMITED,Ikeja,10.643566728396952
,2021-06-17,BITFLUX COMMUNICATIONS LIMITED,Lekki,0.8060726151848487
,2020-09-26,MTN SA,Port Elizabeth,25.970071633243357
,2020-07-11,Dimension Data (Pty) Ltd - Optinet,Kimberley,2.9163917922061873
,2021-12-01,Liquid Telecommunications South Africa (Pty) Ltd,Pietermaritzburg,9.23442567219722
,2023-12-24,,Citrusdal,7.580403952227624
,2020-10-22,TENET (The UNINET Project),Centurion,76.32289076366932
,2023-02-03,Webdev CC T/A Cybertek,Cape Town,31.48733980481164
,2022-04-10,Capricom Networks,Ekurhuleni,3.165299742760804
,2021-02-15,VDT COMMUNICATIONS LIMITED,Lagos,7.695413974460543
,2023-10-10,Safaricom Limited,Kerugoya,31.236150060601297
,2020-03-22,Africa Independent Network Exchange (Pty) LTD (AfricaINX),Johannesburg,5.490983553758099
,2020-07-07,SPECTRANET LIMITED,Agege,0.7064444728261152
,2022-05-25,Vodacom,Delmas,4.757645200157986
,2022-08-11,Cool Ideas Service Provider (Pty) Ltd,Bedfordview,47.71635479337811
,2021-06-23,Dimension Data (Pty) Ltd - Optinet,Victory Park,0.5858038758308731
,2023-03-23,TE-AS,Sharm el Sheikh,18.31685144733807
,2022-07-26,SOMTEL INTERNATIONAL Ltd,Hargeisa,2.9665483138518307
,2022-04-14,"Cloudflare, Inc.",Lagos,30.45489176744586
,2020-02-11,Xnet Internet Services (Pty) Ltd,Cape Town,2.863475761003795
,2021-03-19,TE-AS,Mashtul as Suq,8.569963209397972
,2021-09-13,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Taounate,14.07773220158399
,2021-06-06,Vodafone Data,Giza,5.603403033419699
,2024-07-20,"UNITEL T Telecomunicacoes, Sociedade Unipessoal S.A.",,0.847118182003133
,2024-07-01,Wana Corporate,Casablanca,11.577316977040434
,2023-10-08,TOPNET,La Mornaghia,8.330223854021252
,2023-10-20,MTN SA,Fish Hoek,0.4125276989739029
,2022-01-07,Airtel Networks Kenya Limited,,12.424604195851092
,2023-08-22,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Ahfir,4.196673780557063
,2022-09-05,Internet Solutions,Orange Farm,15.746326560873175
,2024-08-25,RSAWEB (PTY) LTD,George,86.819255466757
,2024-07-21,The Computer Hut cc,Western Cape,19.98732456716273
,2022-12-09,Mauritius Telecom Ltd,Savanne District,15.82653201429677
,2022-06-28,Business Connexion Communications,Pretoria,40.76267588239272
,2024-02-05,Telkom SA Ltd.,Christiana,51.687762517345696
,2022-11-26,,Taung,31.135478197069396
,2022-11-10,TOPNET,Masakin,0.7605684495903383
,2021-10-04,Cybersmart,East London,5.177026600966926
,2023-08-09,MTN SA,Despatch,8.202950685238775
,2021-02-03,Afrihost (Pty) Ltd,eManzimtoti,48.569440328325456
,2020-06-08,Telkom SA Ltd.,Empangeni,0.273413894163765
,2023-10-06,TE-AS,Port el Ghalib,11.794468180367904
,2021-12-31,Kurlec Wireless (PTY) Ltd,Kuruman,2.2662141121187513
,2020-09-26,Safaricom Limited,Kigumo,3.4451559374986704
,2021-05-22,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Sefrou,16.234219724182477
,2024-08-26,TE-AS,Kafr ash Shaykh,22.77597426781242
,2022-10-03,Vodafone Data,Sharqia,9.104345771300329
,2022-04-20,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Temara,18.978981454037385
,2020-03-04,HETZNER (Pty) Ltd,Johannesburg,6.164199553346623
,2024-01-19,TENET (The UNINET Project),East London,11.61534005380605
,2021-09-17,,Springs,2.918970809531368
,2024-08-16,Vodacom,Pietermaritzburg,86.18816917918826
,2024-07-19,MTN Rwandacell,Kigali,10.588021435873111
,2022-03-13,Safaricom Limited,Wanguru,17.699403408248223
,2022-12-11,"PCCW Global, Inc.",,4.016481214437024
,2020-06-14,,Sasolburg,5.180122713998644
,2020-03-26,Companhia Santomense de Telecomunicacoes,,2.4161652712176265
,2023-09-09,Telecom Algeria,Laghouat,4.637600676661778
,2020-08-23,Liquid Telecommunications South Africa (Pty) Ltd,Brakpan,10.44349516548101
,2024-05-25,,Malmesbury,21.531023870222153
,2021-03-19,Kenyan Post & Telecommunications Company / Telkom Kenya Ltd,Kikuyu,2.137231808864106
,2023-06-30,MEDITELECOM,Fes,18.21219596337701
,2024-07-16,DIRECTEL COMMUNICATIONS (PTY) LTD,,75.50721599412982
,2024-06-21,Afrihost (Pty) Ltd,Cape Town,60.27316110609033
,2022-07-23,Cool Ideas Service Provider (Pty) Ltd,Krugersdorp,5.354570038454949
,2024-06-09,TENET (The UNINET Project),Cape Town,55.39519533785702
,2023-08-16,Safaricom Limited,Kericho,7.105057695882884
,2020-10-26,Megasurf Wireless Internet CC,Delmas,4.568266608165012
,2024-03-03,Metrofibre Networx,Durban,73.38221126067722
,2020-06-22,Africell Uganda Limited,Kampala,2.1712958409677343
,2021-10-30,Jenny Internet cc,Volksrust,8.670201109729721
,2023-07-17,Telecom Algeria,Seddouk,0.5909903205300936
,2022-11-02,OOREDOO TUNISIE SA,Medjez el Bab,5.365161114149716
,2021-10-14,Tunisia BackBone AS,Tunis,4.9282609461916715
,2021-12-21,Vodacom,,13.51098077961446
,2023-07-31,Vodacom,Bronkhorstspruit,4.202987054105875
,2020-12-01,MTN SA,Kempton Park,20.561025771399365
,2022-11-10,Orange CÃƒÂ´te d'Ivoire,Dabakala,4.988791763908304
,2021-05-03,Afrihost (Pty) Ltd,Germiston,30.558832290929217
,2020-07-22,Airtel Niger,Niamey,3.2337212881976556
,2020-07-13,TOPNET,La Goulette,2.8757597752564883
,2022-11-19,Telkom SA Ltd.,Johannesburg,19.688599260060553
,2022-07-01,TOPNET,Nefta,16.37135021454166
,2022-02-09,Sky-Connect Internet cc,Roodepoort,6.182227493921145
,2023-07-21,Ghanaian Academic and Research Network,Accra,2.294962344010986
,2024-01-26,STE AFRICELL RDC SPRL,Kinshasa,15.560649429233974
,2024-07-18,TOPNET,Nefta,18.558655923796003
,2022-01-22,Vodacom,Pongola,3.134754276609333
,2022-05-15,Telecom Algeria,Tiaret,4.075796725986434
,2020-04-03,TOPNET,Menzel Heurr,2.554679267357133
,2020-05-04,,George,14.650968416378833
,2020-12-28,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Zawyat Ifrane,25.80148938542328
,2022-12-29,Cell C (Pty) Ltd,Phoenix,2.2975460858255388
,2022-10-09,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Kasba Tadla,22.49627405246649
,2021-08-11,South African Digital Villages (Pty) Ltd,Cape Town,15.32756433668263
,2020-09-18,Safaricom Limited,Meru,18.698927828793934
,2021-09-21,Airtel Madagascar,Ambodirano,6.125814572486529
,2021-03-28,Afrihost (Pty) Ltd,Heidelberg,4.040051036595047
,2022-08-06,,Sasolburg,153.66650739031667
,2024-01-09,Vodacom,Randburg,37.99254453295907
,2022-06-17,Telkom SA Ltd.,Bellville,9.250599551069024
,2020-10-23,SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS,La Possession,27.039863665486045
,2023-07-12,Mauritius Telecom Ltd,Vacoas,87.06684495489961
,2021-12-18,Liquid Telecommunications South Africa (Pty) Ltd,Phuthaditjhaba,3.5244399922682166
,2022-05-28,DJIBOUTI TELECOM S.A.,Balbala,0.2821230703021394
,2023-01-05,Orange Madagascar,Antananarivo,6.26879945045676
,2023-09-22,Optimum Telecom Algeria,Oran,15.914238181694689
,2020-07-14,Telecom Algeria,Ain Defla,0.1934688181677605
,2021-02-09,Eskom Holdings SOC Ltd,,42.49848207068148
,2020-03-07,MTN Network Solutions (Cameroon),Yaoundé,22.53401688828611
,2024-09-05,Vox Telecom Ltd,Springs,39.6227576729858
,2020-06-27,Wireless Associate Service Providers CC,Klerksdorp,4.828771061983374
,2022-05-13,BusyInternet Ghana Ltd,,6.011386557666105
,2023-01-17,Platinum Index Data Communications Ltd,Agango,3.4919132627045864
,2021-08-07,Go Communications Network (Pty) LTD,Johannesburg,4.560833556442125
,2024-02-06,Ethio Telecom,Nazret,6.115650701588034
,2024-07-28,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Nador,21.550582428305336
,2022-12-13,Afrihost (Pty) Ltd,Potchefstroom,14.212747255952092
,2024-09-10,Telkom SA Ltd.,Phalaborwa,36.325618526341245
,2023-05-10,,East London,29.61529763328175
,2022-08-24,Accelerit Technologies PTY LTD,Vanderbijlpark,231.22550569676093
,2021-10-03,West Indian Ocean Cable Company,Nairobi,13.913311724133347
,2021-01-30,Vodacom,Bellville,24.6331763781148
,2023-08-25,Telecom Algeria,El Khroub,8.46833190199178
,2023-04-25,Sterling Bank Plc,,1.8547592537128763
,2022-08-10,TESUCO TELECOMMUNICATIONS (PTY) LTD,Benoni,16.963785703310776
,2021-01-21,Broadbased Communications Limited,Lagos,4.803330947757518
